Id,name,year,number of 4,number of 6,team,win,loss,draw
179,j,1992,8,7,cc,0,1,0
180,p,2009,17,11,aa,0,0,1
181,b,1988,15,7,dd,1,0,0
182,m,1997,20,5,bb,1,0,0
183,n,1991,19,9,bb,0,0,1
184,h,1993,23,6,dd,1,0,0
185,f,1994,0,9,dd,1,0,0
186,i,1990,25,2,ee,1,0,0
187,i,2009,15,11,cc,1,0,0
188,x,1988,19,8,ee,0,1,0
189,q,2010,0,9,bb,1,0,0
190,n,1990,5,6,aa,1,0,0
191,x,2005,17,1,bb,0,0,1
192,h,1998,19,8,bb,0,0,1
193,f,2004,23,0,dd,0,1,0
194,f,1990,22,12,cc,0,0,1
195,r,1997,12,5,bb,0,0,1
196,w,2000,24,4,bb,1,0,0
197,d,2007,20,8,ee,0,0,1
198,t,1990,4,8,ee,1,0,0
199,l,1994,11,3,bb,1,0,0
200,e,1998,6,9,bb,1,0,0
201,s,1992,15,10,cc,0,1,0
202,f,1999,16,10,cc,0,1,0
203,l,1989,24,15,bb,1,0,0
204,h,2006,9,15,cc,0,1,0
205,r,1995,16,2,aa,1,0,0
206,t,2006,14,5,cc,0,0,1
207,d,1990,14,6,bb,0,1,0
208,b,2010,9,6,cc,0,1,0
209,t,2007,3,9,ee,0,1,0
210,o,1995,20,2,bb,0,0,1
211,n,1989,9,8,dd,0,1,0
212,u,1996,1,14,dd,0,1,0
213,v,1989,4,7,bb,0,1,0
214,t,1988,7,15,aa,0,1,0
215,j,1990,24,12,dd,1,0,0
216,p,2003,24,6,ee,1,0,0
217,q,1992,1,1,bb,0,0,1
218,n,1988,4,13,aa,0,0,1
219,l,2007,24,12,dd,1,0,0
220,s,2009,3,14,dd,1,0,0
221,n,2005,25,6,bb,1,0,0
222,i,1999,16,0,cc,0,0,1
223,n,2006,5,8,cc,0,1,0
224,w,1990,11,4,cc,1,0,0
225,b,2003,20,9,ee,1,0,0
226,p,2000,17,9,aa,0,0,1
227,z,2010,14,11,dd,0,1,0
228,d,2009,12,1,cc,0,1,0
229,q,2007,21,10,cc,0,1,0
230,d,1998,25,14,ee,0,0,1
231,l,1993,8,3,dd,1,0,0
232,i,1990,20,4,bb,0,0,1
233,v,1992,22,5,aa,0,0,1
234,x,1995,8,11,ee,1,0,0
235,n,2005,24,3,cc,0,1,0
236,q,2008,25,2,cc,0,0,1
237,x,2003,1,14,dd,0,0,1
238,e,1994,17,8,dd,0,0,1
239,e,2005,15,4,aa,0,0,1
240,w,1990,16,10,aa,1,0,0
241,s,2002,0,13,cc,0,1,0
242,c,2009,8,10,ee,0,0,1
243,k,1999,6,11,ee,0,1,0
244,m,2010,22,2,bb,1,0,0
245,z,2007,14,4,dd,0,1,0
246,u,2008,0,1,bb,1,0,0
247,q,1997,9,12,cc,0,0,1
248,h,1990,11,8,aa,1,0,0
249,e,2001,10,11,aa,0,1,0
250,p,1999,22,2,dd,1,0,0
251,l,2000,19,13,aa,0,1,0
252,a,2010,22,13,bb,0,0,1
253,z,2005,0,6,bb,1,0,0
254,y,2000,2,14,aa,0,1,0
255,w,2002,9,9,bb,0,0,1
256,j,1994,10,15,dd,1,0,0
257,e,2001,7,6,ee,1,0,0
258,o,1988,7,6,ee,0,0,1
259,t,2003,9,2,ee,1,0,0
260,f,2008,14,12,aa,1,0,0
261,y,2002,9,12,dd,0,0,1
262,z,1992,4,12,aa,0,1,0
263,h,1997,0,3,aa,0,1,0
264,v,2007,2,0,cc,0,1,0
265,f,1997,4,11,ee,0,1,0
266,j,2004,0,12,bb,0,1,0
267,z,2002,9,12,ee,0,1,0
268,v,2006,24,3,ee,0,1,0
269,a,1989,19,6,ee,0,0,1
270,v,1993,20,6,dd,0,1,0
271,x,1989,9,12,cc,1,0,0
272,u,2002,21,7,cc,1,0,0
273,b,2001,17,15,ee,0,0,1
274,o,1992,25,15,dd,0,1,0
275,r,1998,2,6,ee,1,0,0
276,o,1994,5,13,bb,0,0,1
277,e,2009,2,0,ee,0,1,0
278,v,2010,19,3,cc,1,0,0
279,a,1994,18,9,dd,1,0,0
280,k,1988,4,5,dd,0,1,0
281,j,2000,25,13,bb,0,1,0
282,n,2002,20,0,bb,0,0,1
283,v,1999,19,6,aa,0,1,0
284,g,1991,22,1,bb,0,0,1
285,d,2006,21,2,ee,0,0,1
286,t,2001,21,2,aa,0,0,1
287,w,1997,6,13,ee,1,0,0
288,z,2004,22,3,ee,0,0,1
289,s,1991,13,11,cc,0,0,1
290,u,1989,5,13,aa,0,1,0
291,h,2001,6,5,aa,1,0,0
292,q,1995,7,11,cc,0,0,1
293,j,1997,11,8,bb,1,0,0
294,i,2009,24,7,cc,1,0,0
295,k,2009,9,5,aa,0,1,0
296,y,2005,0,15,bb,1,0,0
297,g,2007,24,10,dd,0,1,0
298,l,2008,21,11,ee,0,1,0
299,v,1995,14,9,ee,0,1,0
300,t,1995,8,4,bb,1,0,0
301,s,1997,6,13,aa,0,0,1
302,y,1994,4,3,dd,1,0,0
303,l,1988,10,11,ee,1,0,0
304,q,2003,16,11,aa,0,1,0
305,y,1993,13,11,ee,0,1,0
306,t,1990,16,5,ee,1,0,0
307,f,1990,8,10,cc,0,1,0
308,m,1989,13,11,dd,1,0,0
309,t,1993,9,3,dd,0,1,0
310,v,2008,17,11,bb,0,1,0
311,z,1993,3,13,aa,0,1,0
312,g,1997,2,5,cc,0,0,1
313,p,2001,16,3,ee,1,0,0
314,h,1997,1,14,aa,1,0,0
315,y,1990,0,9,dd,0,1,0
316,g,1989,11,10,dd,1,0,0
317,s,1996,21,5,dd,0,1,0
318,v,1992,16,7,cc,0,0,1
319,g,1990,5,6,cc,1,0,0
320,b,2000,20,9,aa,0,0,1
321,r,1999,10,0,dd,0,1,0
322,y,1997,5,8,ee,0,0,1
323,u,1990,0,15,ee,0,1,0
324,b,2004,21,15,bb,1,0,0
325,z,1997,7,1,dd,0,0,1
326,k,2007,15,7,cc,0,1,0
327,j,2000,16,15,cc,1,0,0
328,k,2008,11,1,ee,0,0,1
329,y,1997,18,10,ee,0,0,1
330,h,2007,10,15,ee,0,0,1
331,c,2007,22,3,dd,0,1,0
332,w,2000,19,14,ee,0,1,0
333,l,1996,10,3,aa,0,1,0
334,c,2010,5,3,cc,0,0,1
335,g,1990,1,14,ee,0,1,0
336,v,2002,17,0,cc,1,0,0
337,q,1990,9,2,aa,0,0,1
338,d,1995,3,8,dd,1,0,0
339,c,1998,14,14,cc,0,1,0
340,d,1995,4,14,bb,0,1,0
341,z,2009,1,2,cc,1,0,0
342,n,1991,16,7,dd,0,1,0
343,b,1998,24,1,cc,0,0,1
344,f,1995,1,9,cc,0,0,1
345,d,2001,25,14,dd,0,0,1
346,x,1994,11,4,aa,1,0,0
347,q,2001,21,0,cc,1,0,0
348,x,1994,2,12,bb,0,0,1
349,e,1994,16,15,ee,0,1,0
350,d,1988,4,7,bb,0,1,0
351,e,1998,14,3,ee,1,0,0
352,k,2007,18,2,ee,0,0,1
353,i,2006,23,10,dd,1,0,0
354,i,1998,14,7,dd,1,0,0
355,p,2004,0,6,ee,0,0,1
356,r,1990,9,1,aa,1,0,0
357,r,2006,15,8,ee,1,0,0
358,u,1999,24,3,cc,0,1,0
359,l,1993,10,0,ee,0,0,1
360,g,1999,14,14,ee,1,0,0
361,h,2000,0,6,aa,0,1,0
362,t,1996,4,9,dd,0,0,1
363,s,2002,23,11,bb,1,0,0
364,l,2003,7,9,cc,1,0,0
365,u,2007,1,10,cc,0,0,1
366,w,1994,4,0,bb,1,0,0
367,k,1995,5,3,bb,1,0,0
368,j,2006,15,4,dd,0,1,0
369,v,2007,3,5,dd,0,0,1
370,o,1993,11,2,cc,1,0,0
371,g,2002,4,0,bb,0,1,0
372,k,1995,17,15,cc,0,1,0
373,r,1996,2,11,bb,1,0,0
374,l,1999,4,7,ee,1,0,0
375,q,1995,6,4,dd,0,0,1
376,t,1995,14,8,ee,0,1,0
377,s,1995,20,9,bb,1,0,0
378,h,1999,23,5,cc,1,0,0
379,c,1999,19,13,cc,0,0,1
380,b,1991,5,1,dd,0,0,1
381,i,1989,25,3,bb,0,0,1
382,y,2005,23,5,cc,0,1,0
383,n,2004,12,8,ee,0,0,1
384,p,2000,25,13,aa,0,0,1
385,a,2005,19,5,cc,0,0,1
386,j,2000,14,13,aa,1,0,0
387,g,1989,7,0,bb,0,0,1
388,q,2004,14,4,ee,0,1,0
389,j,2005,12,8,aa,0,0,1
390,z,2003,1,9,aa,1,0,0
391,v,2007,11,4,bb,0,0,1
392,l,2004,18,12,bb,0,1,0
393,z,2010,11,11,dd,0,0,1
394,l,2005,21,11,ee,0,1,0
395,y,2003,18,9,ee,1,0,0
396,j,2003,10,7,bb,0,1,0
397,p,2010,9,11,cc,0,1,0
398,y,1988,9,5,bb,0,0,1
399,b,2006,22,4,ee,1,0,0
400,b,1999,20,4,ee,0,1,0
401,f,2001,6,12,aa,0,1,0
402,v,1991,6,10,dd,1,0,0
403,c,2002,14,10,ee,0,1,0
404,g,1992,18,5,aa,0,0,1
405,q,2004,18,0,ee,1,0,0
406,v,2007,7,4,aa,0,1,0
407,k,1997,11,3,bb,0,0,1
408,g,1988,15,6,ee,0,1,0
409,a,2006,15,9,aa,0,0,1
410,k,2010,6,12,cc,0,1,0
411,p,2007,1,5,ee,0,0,1
412,p,2002,12,4,aa,0,1,0
413,v,1988,6,11,bb,0,1,0
414,k,2005,5,4,bb,0,1,0
415,k,2006,15,2,aa,0,0,1
416,n,1997,19,0,bb,0,0,1
417,r,1990,16,1,dd,1,0,0
418,l,1998,12,9,cc,0,1,0
419,b,2003,21,6,ee,1,0,0
420,p,1993,4,5,aa,0,1,0
421,h,1988,4,7,bb,0,0,1
422,m,2010,21,5,dd,0,0,1
423,m,2000,4,8,dd,0,0,1
424,f,1988,21,7,aa,0,0,1
425,w,1996,10,4,ee,0,0,1
426,c,2010,3,6,bb,0,1,0
427,b,2000,23,5,aa,0,1,0
428,s,1997,14,9,dd,1,0,0
429,y,1997,12,12,cc,1,0,0
430,y,1998,23,9,ee,0,1,0
431,c,2004,8,10,cc,1,0,0
432,v,2001,10,5,aa,0,1,0
433,c,2009,10,8,ee,0,0,1
434,f,1993,12,5,bb,0,0,1
435,z,1992,4,9,ee,0,0,1
436,e,1993,12,5,aa,0,0,1
437,f,1997,3,12,cc,0,1,0
438,y,1993,2,2,dd,0,1,0
439,w,1994,10,5,ee,1,0,0
440,s,1994,7,14,aa,0,0,1
441,x,1998,6,2,ee,1,0,0
442,x,2008,25,12,ee,0,1,0
443,y,1992,6,14,bb,0,1,0
444,y,2003,7,3,cc,1,0,0
445,k,2010,25,3,aa,1,0,0
446,x,1990,8,8,aa,0,0,1
447,h,2010,3,3,ee,0,1,0
448,z,2002,25,9,dd,0,0,1
449,e,1990,2,0,cc,1,0,0
450,m,1995,23,14,dd,0,1,0
451,a,2003,19,14,cc,0,0,1
452,e,2001,25,4,dd,1,0,0
453,y,1999,14,3,aa,1,0,0
454,j,2010,14,9,bb,0,1,0
455,o,1990,8,4,aa,1,0,0
456,z,1992,24,4,dd,0,1,0
457,z,2009,17,8,dd,0,1,0
458,f,2009,5,3,ee,1,0,0
459,e,1996,19,3,cc,1,0,0
460,e,1991,9,1,dd,0,1,0
461,u,2005,13,12,dd,1,0,0
462,w,1989,2,6,cc,0,0,1
463,f,2004,15,6,bb,0,0,1
464,b,2001,13,14,bb,0,1,0
465,j,2003,12,0,cc,1,0,0
466,b,1996,7,5,bb,1,0,0
467,j,2008,4,7,ee,1,0,0
468,l,2009,20,14,ee,0,0,1
469,q,1996,10,2,ee,0,1,0
470,p,1994,6,2,bb,0,1,0
471,k,2004,20,4,cc,0,1,0
472,u,2000,17,7,bb,0,1,0
473,d,1989,5,1,bb,0,1,0
474,o,1996,9,7,ee,0,0,1
475,c,2000,14,8,aa,0,1,0
476,q,1991,23,10,dd,0,1,0
477,v,1994,15,9,dd,0,1,0
478,t,1995,9,3,dd,1,0,0
479,f,2000,20,2,dd,0,0,1
480,x,1994,4,0,ee,0,0,1
481,q,1990,19,12,cc,1,0,0
482,o,2003,4,3,dd,0,1,0
483,a,1998,10,1,dd,1,0,0
484,c,2003,14,2,aa,0,0,1
485,z,1990,12,11,aa,0,0,1
486,l,2010,1,11,ee,0,1,0
487,d,1999,15,15,cc,1,0,0
488,s,2000,19,1,aa,1,0,0
489,g,2008,13,3,ee,0,0,1
490,j,2001,23,12,aa,0,0,1
491,y,1995,12,8,ee,1,0,0
492,l,1999,22,2,ee,0,0,1
493,n,2002,8,2,ee,1,0,0
494,f,2008,0,8,ee,0,1,0
495,j,1990,14,14,ee,0,0,1
496,n,2005,21,13,aa,1,0,0
497,b,1988,9,14,aa,0,1,0
498,z,1994,21,9,aa,0,0,1
499,y,1989,13,4,cc,0,1,0
500,g,2008,10,0,dd,1,0,0
501,x,2002,20,9,aa,0,0,1
502,a,2002,15,9,cc,0,0,1
503,n,2008,5,3,ee,0,0,1
504,j,2000,5,8,ee,0,1,0
505,p,1993,20,7,bb,0,1,0
506,l,2010,11,12,aa,1,0,0
507,t,2000,12,1,aa,1,0,0
508,f,2000,18,9,ee,1,0,0
509,i,1988,21,1,cc,1,0,0
510,r,1993,9,15,cc,0,1,0
511,v,2005,17,1,cc,1,0,0
512,r,2005,15,4,bb,0,1,0
513,n,1993,20,7,dd,0,0,1
514,h,1999,5,15,dd,0,0,1
515,z,1990,12,11,aa,0,1,0
516,h,1990,25,9,cc,0,1,0
517,z,2002,21,9,cc,1,0,0
518,y,2002,2,11,cc,0,1,0
519,r,2008,4,8,dd,0,1,0
520,g,2007,17,6,ee,1,0,0
521,b,2003,8,4,aa,0,0,1
522,r,1988,24,3,aa,0,0,1
523,x,1992,5,11,ee,1,0,0
524,b,2005,15,2,cc,0,0,1
525,q,1996,10,4,bb,1,0,0
526,k,1990,9,9,cc,1,0,0
527,u,2002,6,7,cc,1,0,0
528,d,1997,14,8,bb,1,0,0
529,l,2006,4,3,cc,1,0,0
530,a,2001,14,12,cc,0,0,1
531,s,1994,11,15,aa,1,0,0
532,k,1999,13,3,bb,1,0,0
533,c,1999,17,9,cc,1,0,0
534,j,1991,8,5,bb,0,1,0
535,r,2010,24,9,ee,0,0,1
536,y,2005,16,5,cc,0,0,1
537,i,2000,6,13,bb,0,1,0
538,z,1995,16,1,aa,1,0,0
539,g,2004,7,6,bb,0,1,0
540,o,1988,8,8,bb,1,0,0
541,t,1993,17,9,bb,0,0,1
542,o,2005,15,9,ee,0,0,1
543,p,1992,3,4,cc,0,0,1
544,a,2003,4,10,cc,0,0,1
545,g,1995,8,12,cc,0,1,0
546,a,2009,2,1,cc,0,0,1
547,n,2004,8,7,cc,0,1,0
548,k,1994,21,9,dd,0,1,0
549,c,1990,17,7,dd,0,0,1
550,e,1993,24,9,bb,1,0,0
551,d,2006,8,2,ee,1,0,0
552,f,2002,5,15,dd,1,0,0
553,r,2003,1,2,cc,0,1,0
554,v,1989,3,4,dd,0,0,1
555,s,1990,22,15,bb,1,0,0
556,e,1988,0,0,dd,0,0,1
557,z,2002,14,1,bb,0,1,0
558,l,1999,3,14,cc,0,0,1
559,p,1993,13,13,bb,0,1,0
560,q,1994,18,10,dd,0,0,1
561,q,1999,8,8,aa,0,0,1
562,i,1994,25,0,aa,0,1,0
563,q,1988,21,10,ee,0,0,1
564,e,1995,25,7,ee,0,0,1
565,z,1996,14,12,bb,1,0,0
566,i,1991,15,3,aa,1,0,0
567,s,1998,9,6,ee,0,0,1
568,g,1995,11,7,bb,0,1,0
569,q,1992,6,11,ee,1,0,0
570,p,1994,20,14,aa,1,0,0
571,y,2006,11,15,bb,0,0,1
572,u,1993,15,9,ee,1,0,0
573,c,1994,21,10,aa,0,0,1
574,v,1995,5,8,ee,0,1,0
575,o,1990,20,6,cc,0,1,0
576,p,1992,8,8,ee,0,1,0
577,j,1992,4,4,ee,1,0,0
578,z,1988,21,8,dd,0,0,1
579,g,1991,7,12,ee,0,1,0
580,d,1998,23,0,ee,0,0,1
581,y,2008,11,15,bb,0,0,1
582,v,2001,10,5,aa,0,1,0
583,x,2005,11,0,cc,0,0,1
584,l,1989,16,7,dd,1,0,0
585,f,2006,19,15,ee,0,0,1
586,q,1995,24,9,bb,0,1,0
587,f,1992,11,12,dd,1,0,0
588,b,1990,16,6,bb,0,0,1
589,u,2010,23,11,cc,1,0,0
590,z,1996,21,8,cc,1,0,0
591,e,1990,5,4,cc,0,0,1
592,a,1997,18,12,aa,1,0,0
593,l,1997,20,8,ee,1,0,0
594,y,2003,17,1,aa,0,0,1
595,t,2001,4,8,dd,0,0,1
596,i,2007,2,11,aa,1,0,0
597,u,1999,25,15,ee,0,0,1
598,n,1996,5,10,dd,0,0,1
599,g,2010,22,5,cc,0,0,1
600,r,1997,19,8,bb,0,0,1
601,j,1989,3,10,dd,0,1,0
602,f,1998,12,7,ee,1,0,0
603,m,2002,4,13,cc,1,0,0
604,i,2003,24,6,ee,1,0,0
605,m,1990,12,12,aa,1,0,0
606,m,2001,25,5,cc,1,0,0
607,m,1989,0,10,aa,1,0,0
608,u,2006,14,9,bb,1,0,0
609,k,1989,21,3,aa,0,1,0
610,k,1997,0,1,bb,0,1,0
611,c,2002,11,7,cc,0,0,1
612,a,2005,23,11,bb,0,0,1
613,h,1994,18,6,aa,0,1,0
614,s,2000,10,0,aa,1,0,0
615,u,2002,17,8,ee,0,1,0
616,a,2010,14,6,bb,0,0,1
617,g,2003,16,10,cc,1,0,0
618,t,2008,6,2,aa,0,1,0
619,w,2003,16,9,dd,0,1,0
620,e,1994,18,0,bb,0,0,1
621,m,2004,22,7,ee,0,1,0
622,r,1991,18,9,bb,0,0,1
623,w,1994,14,5,bb,1,0,0
624,l,2007,3,15,dd,0,1,0
625,p,1995,24,15,aa,0,0,1
626,t,1991,20,13,bb,0,1,0
627,x,1990,0,9,aa,1,0,0
628,c,1994,22,0,cc,0,1,0
629,p,2010,13,15,cc,1,0,0
630,u,1997,0,11,aa,0,1,0
631,h,2005,17,2,bb,1,0,0
632,b,2009,24,15,ee,1,0,0
633,l,1994,14,9,aa,0,1,0
634,d,2010,23,5,aa,1,0,0
635,x,1999,16,5,bb,0,1,0
636,c,1996,5,2,cc,1,0,0
637,l,2008,4,15,cc,0,0,1
638,y,2005,19,8,ee,0,1,0
639,a,2009,14,0,ee,0,1,0
640,o,2003,17,6,cc,0,0,1
641,j,2000,22,13,bb,0,0,1
642,o,2008,14,10,cc,0,0,1
643,y,1996,24,9,cc,0,1,0
644,l,2004,16,12,bb,1,0,0
645,h,2001,15,0,cc,0,0,1
646,x,2001,2,5,bb,0,1,0
647,g,1999,6,15,dd,0,1,0
648,f,2004,12,10,aa,0,1,0
649,x,2010,8,7,ee,1,0,0
650,r,2004,16,0,cc,0,1,0
651,b,2006,19,4,aa,1,0,0
652,c,2003,13,2,dd,0,1,0
653,u,1992,1,0,bb,0,0,1
654,o,2002,8,0,dd,0,0,1
655,s,2004,18,3,cc,0,1,0
656,w,1996,10,9,ee,1,0,0
657,o,1992,12,1,ee,1,0,0
658,u,2001,24,11,bb,0,0,1
659,c,1993,5,12,cc,0,1,0
660,w,2001,17,7,ee,0,1,0
661,q,2009,10,10,aa,0,0,1
662,w,1999,9,11,cc,0,0,1
663,w,1997,19,9,bb,1,0,0
664,e,1994,4,6,bb,0,0,1
665,v,1990,3,3,aa,0,1,0
666,k,2007,23,11,aa,0,1,0
667,u,2007,12,14,cc,0,0,1
668,x,1990,10,7,bb,0,0,1
669,m,1988,25,10,ee,1,0,0
670,a,1991,7,10,bb,0,0,1
671,g,2009,15,15,bb,1,0,0
672,i,1999,12,10,aa,1,0,0
673,p,2004,22,6,bb,1,0,0
674,f,2001,7,8,dd,0,0,1
675,m,1990,8,8,aa,0,1,0
676,h,1988,25,14,aa,0,1,0
677,g,2001,7,8,bb,1,0,0
678,a,1989,6,4,bb,0,0,1
679,r,2002,13,15,aa,0,1,0
680,i,1995,11,9,dd,0,0,1
681,h,1995,13,2,aa,1,0,0
682,l,1999,12,9,dd,0,1,0
683,a,1990,16,15,dd,1,0,0
684,h,2010,14,1,bb,1,0,0
685,m,2006,5,11,ee,0,1,0
686,p,2004,7,3,ee,0,1,0
687,n,1994,23,8,aa,0,0,1
688,r,2001,17,11,dd,0,1,0
689,b,1992,2,3,aa,0,0,1
690,d,2003,10,15,dd,1,0,0
691,s,2010,25,3,dd,0,1,0
692,d,1999,4,11,ee,0,0,1
693,j,2002,25,11,dd,1,0,0
694,v,1994,8,2,cc,0,1,0
695,h,2006,9,7,ee,1,0,0
696,q,1990,0,13,aa,1,0,0
697,q,1997,9,10,ee,1,0,0
